model,condition,alpha,n,correct_pct,correct_lo,correct_hi,steered_pct,steered_lo,steered_hi,other_pct,other_lo,other_hi
M0,clean,0.0,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0,correct_inject,0.4,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0,correct_inject,0.6,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0,correct_inject,0.8,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0,steer_heldout,0.4,30,0.5667,0.3333,0.8,0.3667,0.1333,0.6,0.0667,0.0,0.1667
M0,steer_heldout,0.6,30,0.1333,0.0,0.3333,0.8333,0.6333,1.0,0.0333,0.0,0.1
M0,steer_heldout,0.8,30,0.0333,0.0,0.1,0.9,0.8,1.0,0.0667,0.0,0.1667
M0,steer_train,0.4,58,0.5345,0.3621,0.7018,0.2759,0.1754,0.3793,0.1897,0.0877,0.2931
M0,steer_train,0.6,58,0.1207,0.0,0.2931,0.7241,0.55,0.8793,0.1552,0.0508,0.2807
M0,steer_train,0.8,58,0.0,0.0,0.0,0.8621,0.7797,0.9333,0.1379,0.0667,0.2203
M1,clean,0.0,10,0.9,0.7,1.0,0.0,0.0,0.0,0.1,0.0,0.3
M1,correct_inject,0.4,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M1,correct_inject,0.6,11,0.9091,0.7273,1.0,0.0,0.0,0.0,0.0909,0.0,0.2727
M1,correct_inject,0.8,11,0.9091,0.7273,1.0,0.0,0.0,0.0,0.0909,0.0,0.2727
M1,steer_heldout,0.4,30,0.8,0.5667,1.0,0.1,0.0,0.2667,0.1,0.0,0.2333
M1,steer_heldout,0.6,30,0.4,0.2,0.6,0.4667,0.2333,0.7,0.1333,0.0,0.3
M1,steer_heldout,0.8,30,0.1,0.0,0.2333,0.8,0.6,0.9667,0.1,0.0325,0.2
M1,steer_train,0.4,58,0.8103,0.6071,0.9661,0.0517,0.0,0.1404,0.1379,0.0,0.2857
M1,steer_train,0.6,58,0.431,0.2241,0.6441,0.3793,0.2373,0.5345,0.1897,0.1017,0.2759
M1,steer_train,0.8,58,0.1207,0.0333,0.2373,0.6897,0.5254,0.8448,0.1897,0.0847,0.3
